id,chart_template_id:id,code,name,user_type_id:id,reconcile
tw_1170-00-00,l10n_tw_chart_template,1170-00-00,應收帳款淨額,account.data_account_type_current_assets,FALSE
tw_1172-00-00,l10n_tw_chart_template,1172-00-00,應收帳款,account.data_account_type_receivable,TRUE
tw_1173-00-00,l10n_tw_chart_template,1173-00-00,應收分期帳款,account.data_account_type_receivable,TRUE
tw_1174-00-00,l10n_tw_chart_template,1174-00-00,未實現利息收入-應收分期帳款,account.data_account_type_receivable,TRUE
tw_1175-00-00,l10n_tw_chart_template,1175-00-00,應收租賃款,account.data_account_type_receivable,TRUE
tw_1176-00-00,l10n_tw_chart_template,1176-00-00,融資租賃之未賺得融資收益,account.data_account_type_current_assets,FALSE
tw_1177-00-00,l10n_tw_chart_template,1177-00-00,備抵銷售退回及折讓,account.data_account_type_current_assets,FALSE
tw_1179-00-00,l10n_tw_chart_template,1179-00-00,備抵呆帳-應收帳款,account.data_account_type_current_assets,FALSE
tw_1180-00-00,l10n_tw_chart_template,1180-00-00,應收帳款-關係人淨額,account.data_account_type_current_assets,FALSE
tw_1181-00-00,l10n_tw_chart_template,1181-00-00,應收帳款-關係人,account.data_account_type_current_assets,FALSE
tw_1182-00-00,l10n_tw_chart_template,1182-00-00,應收分期帳款-關係人,account.data_account_type_current_assets,FALSE
tw_1183-00-00,l10n_tw_chart_template,1183-00-00,未實現利息收入-應收關係人分期帳款,account.data_account_type_current_assets,FALSE
tw_1184-00-00,l10n_tw_chart_template,1184-00-00,應收租賃款-關係人,account.data_account_type_current_assets,FALSE
tw_1185-00-00,l10n_tw_chart_template,1185-00-00,融資租賃之未賺得融資收益-關係人,account.data_account_type_current_assets,FALSE
tw_1189-00-00,l10n_tw_chart_template,1189-00-00,備抵呆帳-應收關係人帳款,account.data_account_type_current_assets,FALSE
tw_1200-00-00,l10n_tw_chart_template,1200-00-00,其他應收款,account.data_account_type_receivable,TRUE
tw_1201-00-00,l10n_tw_chart_template,1201-00-00,應收退稅款,account.data_account_type_receivable,TRUE
tw_1204-00-00,l10n_tw_chart_template,1204-00-00,應收歸墊款,account.data_account_type_receivable,TRUE
tw_1205-00-00,l10n_tw_chart_template,1205-00-00,應收收益,account.data_account_type_current_assets,FALSE
tw_1206-00-00,l10n_tw_chart_template,1206-00-00,其他應收帳款-其他,account.data_account_type_current_assets,FALSE
tw_1209-00-00,l10n_tw_chart_template,1209-00-00,備抵呆帳-其他應收款項,account.data_account_type_current_assets,FALSE
tw_1210-00-00,l10n_tw_chart_template,1210-00-00,其他應收帳款-關係人,account.data_account_type_current_assets,FALSE
tw_1211-00-00,l10n_tw_chart_template,1211-00-00,應收收益-關係人,account.data_account_type_current_assets,FALSE
tw_1212-00-00,l10n_tw_chart_template,1212-00-00,其他應收帳款-關係人-其他,account.data_account_type_current_assets,FALSE
tw_1219-00-00,l10n_tw_chart_template,1219-00-00,備抵呆帳-其他應收關係人款項,account.data_account_type_current_assets,FALSE
tw_1220-00-00,l10n_tw_chart_template,1220-00-00,當期所得稅資產,account.data_account_type_current_assets,FALSE
tw_1221-00-00,l10n_tw_chart_template,1221-00-00,應收所得稅退稅款,account.data_account_type_current_assets,FALSE
tw_1222-00-00,l10n_tw_chart_template,1222-00-00,預付所得稅,account.data_account_type_current_assets,TRUE
tw_1300-00-00,l10n_tw_chart_template,1300-00-00,存貨-買賣業,account.data_account_type_current_assets,TRUE
tw_1301-00-00,l10n_tw_chart_template,1301-00-00,商品存貨,account.data_account_type_current_assets,TRUE
tw_1302-00-00,l10n_tw_chart_template,1302-00-00,寄銷品,account.data_account_type_current_assets,TRUE
tw_1308-00-00,l10n_tw_chart_template,1308-00-00,在途商品,account.data_account_type_current_assets,TRUE
tw_1309-00-00,l10n_tw_chart_template,1309-00-00,備抵存貨跌價-買賣,account.data_account_type_current_assets,TRUE
tw_1310-00-00,l10n_tw_chart_template,1310-00-00,存貨-製造業,account.data_account_type_current_assets,TRUE
